cs1,cs2,cs3,n_images,agree_all_frac_mean,agree12_frac_mean,agree13_frac_mean,agree23_frac_mean,miou1_imgmean,miou2_imgmean,miou3_imgmean,miouE_imgmean,miou1_dataset,miou2_dataset,miou3_dataset,miouE_dataset,best_single_dataset,ensemble_gain_over_best_single
c02,jzazbz,srgb_linear,10,0.8571612874699357,0.9280247114809924,0.8833168196272556,0.9016544266659547,7.796517775252461,7.943999943381203,7.496828610605661,8.262280317856895,33.77989990197807,35.48254059634142,31.15979519695565,36.64716889192131,35.48254059634142,1.1646282955798881
jzazbz,jzczhz,srgb_linear,10,0.8394107989699557,0.9100334886716965,0.9016544266659547,0.8640594007659332,7.943999943381203,7.6139420129962785,7.496828610605661,8.257450337278835,35.48254059634142,32.057920716895914,31.15979519695565,36.48487380452711,35.48254059634142,1.0023332081856893
jzazbz,oklab,rgb,10,0.9180332953104215,0.9571108843144291,0.9400443106296992,0.938205366135797,7.943999943381203,7.828507696346305,7.673425436314167,8.042824362652931,35.48254059634142,35.39255811487449,32.72496099337972,36.466167862652696,35.48254059634142,0.9836272663112737
hsv_conic,jzazbz,xyz,10,0.7979707380235748,0.9490967037589624,0.8225911876234253,0.823468652129832,7.91775324491911,7.943999943381203,6.646894189985868,8.136442732424348,34.595471137060706,35.48254059634142,26.761019442700896,36.46477116594022,35.48254059634142,0.9822305695987978
jzazbz,oklch,srgb_linear,10,0.8275664086804293,0.8927790572384648,0.9016544266659547,0.8592273158915689,7.943999943381203,7.8159916984152575,7.496828610605661,8.253795276959877,35.48254059634142,32.661160784563286,31.15979519695565,36.401704796637084,35.48254059634142,0.9191642002956613
c16,jzazbz,srgb_linear,10,0.8698076135382923,0.945304482431502,0.8915819483184491,0.9016544266659547,7.832689776667282,7.943999943381203,7.496828610605661,8.262017067905354,33.256139919264164,35.48254059634142,31.15979519695565,36.394707601981324,35.48254059634142,0.9121670056399012
jzazbz,rgb,ycbcr_bt709,10,0.9074016364041997,0.9400443106296992,0.9399997939030333,0.934327573864489,7.943999943381203,7.673425436314167,7.830464716896323,8.081208937795347,35.48254059634142,32.72496099337972,34.730908314849835,36.38321225121639,35.48254059634142,0.9006716548749694
jzazbz,oklch,xyz,10,0.7508935532676964,0.8927790572384648,0.823468652129832,0.7840476845922458,7.943999943381203,7.8159916984152575,6.646894189985868,8.232499712599779,35.48254059634142,32.661160784563286,26.761019442700896,36.35183517173209,35.48254059634142,0.8692945753906685
cielab,jzazbz,oklab,10,0.9280898364523562,0.947718662042884,0.9508551373258427,0.9571108843144291,7.573457329032071,7.943999943381203,7.828507696346305,8.006545374935452,32.833098980563705,35.48254059634142,35.39255811487449,36.33790585919874,35.48254059634142,0.855365262857319
cielab,jzazbz,ycbcr_bt709,10,0.9141606733989821,0.947718662042884,0.9404343766803901,0.9399997939030333,7.573457329032071,7.943999943381203,7.830464716896323,8.05512087665884,32.833098980563705,35.48254059634142,34.730908314849835,36.27701655268991,35.48254059634142,0.7944759563484851
ictcp_pq,rgb,ycbcr_bt709,10,0.8419051479521793,0.8717592922676731,0.8760256573171065,0.934327573864489,7.286426627201346,7.673425436314167,7.830464716896323,8.05740680352749,32.70964465056424,32.72496099337972,34.730908314849835,36.272834946343465,34.730908314849835,1.5419266314936309
cielab,ictcp_pq,ycbcr_bt709,10,0.8489967158326494,0.8799639094442494,0.9404343766803901,0.8760256573171065,7.573457329032071,7.286426627201346,7.830464716896323,8.047491547607297,32.833098980563705,32.70964465056424,34.730908314849835,36.26385053713821,34.730908314849835,1.5329422222883764
ictcp_pq,oklab,rgb,10,0.853689025656988,0.8949742503955356,0.8717592922676731,0.938205366135797,7.286426627201346,7.828507696346305,7.673425436314167,7.992900717411797,32.70964465056424,35.39255811487449,32.72496099337972,36.24471660954885,35.39255811487449,0.852158494674363
c02,oklab,srgb_linear,10,0.8655312290531851,0.940216882760239,0.8833168196272556,0.9067578798705721,7.796517775252461,7.828507696346305,7.496828610605661,8.156770433379794,33.77989990197807,35.39255811487449,31.15979519695565,36.24470866917128,35.39255811487449,0.8521505542967915
jzazbz,oklab,srgb_linear,10,0.883499149916496,0.9571108843144291,0.9016544266659547,0.9067578798705721,7.943999943381203,7.828507696346305,7.496828610605661,7.999507336597714,35.48254059634142,35.39255811487449,31.15979519695565,36.219682042350215,35.48254059634142,0.737141446008792
jzazbz,oklab,xyz,10,0.8064506915631279,0.9571108843144291,0.823468652129832,0.8313000965821944,7.943999943381203,7.828507696346305,6.646894189985868,7.984652216842369,35.48254059634142,35.39255811487449,26.761019442700896,36.21180674630203,35.48254059634142,0.7292661499606083
c02,jzazbz,xyz,10,0.7862694451057862,0.9280247114809924,0.8197369389759978,0.823468652129832,7.796517775252461,7.943999943381203,6.646894189985868,8.134297280453726,33.77989990197807,35.48254059634142,26.761019442700896,36.14667429635654,35.48254059634142,0.664133700015114
hsv_conic,jzazbz,srgb_linear,10,0.8727431267723335,0.9490967037589624,0.8939211207245401,0.9016544266659547,7.91775324491911,7.943999943381203,7.496828610605661,8.073583861352642,34.595471137060706,35.48254059634142,31.15979519695565,36.14488608101982,35.48254059634142,0.6623454846783972
hsv_conic,oklab,xyz,10,0.8025641213948573,0.9508756460092446,0.8225911876234253,0.8313000965821944,7.91775324491911,7.828507696346305,6.646894189985868,8.050846080887698,34.595471137060706,35.39255811487449,26.761019442700896,36.13580065289143,35.39255811487449,0.7432425380169434
cielab,ictcp_pq,oklab,10,0.8640733072654486,0.8799639094442494,0.9508551373258427,0.8949742503955356,7.573457329032071,7.286426627201346,7.828507696346305,7.933305559086253,32.833098980563705,32.70964465056424,35.39255811487449,36.1054428220297,35.39255811487449,0.7128847071552116
hsv_conic,ictcp_pq,jzazbz,10,0.8719198651658969,0.8833828997277997,0.9490967037589624,0.9107417779428364,7.91775324491911,7.286426627201346,7.943999943381203,8.004776211985067,34.595471137060706,32.70964465056424,35.48254059634142,35.9466198064791,35.48254059634142,0.46407921013767606
ictcp_pq,oklch,srgb_linear,10,0.7762732747569231,0.8397021995254036,0.8498279690270133,0.8592273158915689,7.286426627201346,7.8159916984152575,7.496828610605661,8.174735769879103,32.70964465056424,32.661160784563286,31.15979519695565,35.94273257168638,32.70964465056424,3.2330879211221344
c16,jzazbz,xyz,10,0.7945174614198882,0.945304482431502,0.819191675703592,0.823468652129832,7.832689776667282,7.943999943381203,6.646894189985868,8.177501747518416,33.256139919264164,35.48254059634142,26.761019442700896,35.93911409661672,35.48254059634142,0.4565735002752973
ictcp_pq,jzazbz,oklch,10,0.8220924778323943,0.9107417779428364,0.8397021995254036,0.8927790572384648,7.286426627201346,7.943999943381203,7.8159916984152575,8.058174099691898,32.70964465056424,35.48254059634142,32.661160784563286,35.935709143607916,35.48254059634142,0.45316854726649325
hsv_conic,oklab,srgb_linear,10,0.8761254103281267,0.9508756460092446,0.8939211207245401,0.9067578798705721,7.91775324491911,7.828507696346305,7.496828610605661,8.005762567545348,34.595471137060706,35.39255811487449,31.15979519695565,35.88759143309779,35.39255811487449,0.49503331822329955
jzazbz,xyz,ycbcr_bt709,10,0.8086241513048483,0.823468652129832,0.9399997939030333,0.8530732601696454,7.943999943381203,6.646894189985868,7.830464716896323,7.983530063264391,35.48254059634142,26.761019442700896,34.730908314849835,35.88219082855009,35.48254059634142,0.39965023220866414
c02,oklab,xyz,10,0.7958635946881575,0.940216882760239,0.8197369389759978,0.8313000965821944,7.796517775252461,7.828507696346305,6.646894189985868,8.053191267158589,33.77989990197807,35.39255811487449,26.761019442700896,35.85189001742106,35.39255811487449,0.4593319025465732
jzazbz,srgb_linear,ycbcr_bt709,10,0.8873951763958228,0.9016544266659547,0.9399997939030333,0.9320252787296435,7.943999943381203,7.496828610605661,7.830464716896323,7.9783400397586295,35.48254059634142,31.15979519695565,34.730908314849835,35.798736935997354,35.48254059634142,0.3161963396559315
c16,ictcp_pq,srgb_linear,10,0.8106393224946411,0.8767441144701673,0.8915819483184491,0.8498279690270133,7.832689776667282,7.286426627201346,7.496828610605661,8.115574261428268,33.256139919264164,32.70964465056424,31.15979519695565,35.75975690677778,33.256139919264164,2.5036169875136167
cielab,ictcp_pq,jzazbz,10,0.869691890483448,0.8799639094442494,0.947718662042884,0.9107417779428364,7.573457329032071,7.286426627201346,7.943999943381203,7.966347384662117,32.833098980563705,32.70964465056424,35.48254059634142,35.75795905306452,35.48254059634142,0.27541845672309506
ictcp_pq,jzazbz,rgb,10,0.8616903974061323,0.9107417779428364,0.8717592922676731,0.9400443106296992,7.286426627201346,7.943999943381203,7.673425436314167,7.977470036199807,32.70964465056424,35.48254059634142,32.72496099337972,35.724264318394376,35.48254059634142,0.2417237220529529
ictcp_pq,jzazbz,ycbcr_bt709,10,0.8642741934238034,0.9107417779428364,0.8760256573171065,0.9399997939030333,7.286426627201346,7.943999943381203,7.830464716896323,7.965648019653048,32.70964465056424,35.48254059634142,34.730908314849835,35.64397987257924,35.48254059634142,0.1614392762378145
ictcp_pq,oklab,srgb_linear,10,0.8267795522413708,0.8949742503955356,0.8498279690270133,0.9067578798705721,7.286426627201346,7.828507696346305,7.496828610605661,7.882426509819934,32.70964465056424,35.39255811487449,31.15979519695565,35.61119697988622,35.39255811487449,0.21863886501173369
c16,ictcp_pq,jzazbz,10,0.8666257830310352,0.8767441144701673,0.945304482431502,0.9107417779428364,7.832689776667282,7.286426627201346,7.943999943381203,7.969018392309894,33.256139919264164,32.70964465056424,35.48254059634142,35.60896552392522,35.48254059634142,0.1264249275837983
cielab,hsv_conic,jzazbz,10,0.9287520180473378,0.9604017465403342,0.947718662042884,0.9490967037589624,7.573457329032071,7.91775324491911,7.943999943381203,7.966321666708071,32.833098980563705,34.595471137060706,35.48254059634142,35.58523141972333,35.48254059634142,0.10269082338190572
